Name Of The Course ,Institute,Number of learners,Link,Description,Type,Category
the finishing activities in construction methodology, Akshay Kamath,"3,211",https://alison.com/course/the-finishing-activities-in-construction-methodology#l-main-pub,"Discuss the finishing activities involved in building co,  Identify the brick and block types used for erecting bui,  Describe the process and procedures involved ", Certification course,engineering
insurance underwriting principles and practices, Thames College,782,https://alison.com/course/insurance-underwriting-principles-and-practices#l-main-pub,"Explain the primary purpose of insurance underwriting,  Outline the roles and responsibilities of an ,  Distinguish between various types of insurance", Certification course,business
introduction to bach flower remedies, Global Skill Network,636,https://alison.com/course/introduction-to-bach-flower-remedies#l-main-pub,"Discuss the functions of the limbic system,  Discuss the positive qualities specifically associated w,  Explain the benefit of Agrimony in emotional ", Certification course,personal-development
understanding autism spectrum disorder unraveling the mystery, Areej Mughal,"2,011",https://alison.com/course/understanding-autism-spectrum-disorder-unraveling-the-mystery#l-main-pub,"Identify and recognize the common symptoms and behaviors,  Recognize and categorize the co-occurring conditions oft,  Define ?autism spectrum disorder? (ASD) and i", Certification course,personal-development
basics of horticulture, Alpha Academy,"11,560",https://alison.com/course/basics-of-horticulture#l-main-pub,"Outline the fundamentals of horticulture,  Discuss how plant cells grow and react to different sett,  Explain how to create the perfect soil compos,  List the categories of horticultural plants", Certification course,personal-development
tattoo basics for beginners, Lily Lu,"24,799",https://alison.com/course/tattoo-basics-for-beginners#l-main-pub,"Explain the basics of tattooing,  Illustrate how to set up an effective tattooing workspac,  Explain why it is necessary to know your clie,  List the equipment a tattoo artist needs for tattooing", Certification course,education
understanding international security, My Global Politics,"1,193",https://alison.com/course/understanding-international-security#l-main-pub,"Identify factors that may lead to interstate wars,  Recall the role of international institutions and interd,  Analyze the impact of war on individual, nati", Certification course,education
introduction to basic electrical drawings and test equipment revised, USAID,"52,634",https://alison.com/course/introduction-to-basic-electrical-drawings-and-test-equipment-revised#l-main-pub,"List the plans and drawings that are included in electri,  Describe the various terms associated with electrical dr,  Discuss the drawing layout, the common drafti", Certification course,engineering
basic concepts of forestry, Royal Open College,238,https://alison.com/course/basic-concepts-of-forestry#l-main-pub,"Discuss the principles of silviculture and SMF,  Describe how forests have evolved and what their importa,  Recall different diseases that can affect forests and th,  Analyse the sampling methods and the use of r", Certification course,engineering
introduction to library and information science, Alpha Academy,"2,109",https://alison.com/course/introduction-to-library-and-information-science#l-main-pub,"Define the concept of organising and its role in providi,  Identify and describe the key characteristics of an orga,  Discuss professional ethics and its significa", Certification course,education
shipboard firefighting principles, ADU,"1,711",https://alison.com/course/shipboard-firefighting-principles#l-main-pub,"Identify the firefighting strategies and procedures for ,  Outline the importance of shipboard fire drills in preve,  Describe the fire drills that may be conducte", Certification course,health
group communication teamwork and leadership, Professional Academy,"13,215",https://alison.com/course/group-communication-teamwork-and-leadership#l-main-pub,"Define groups and teams,  Discuss how primary and secondary groups meet our interp,  Discuss how groups tend to limit their own si", Certification course,business
debt management and financial planning, Skill Tutor,"2,595",https://alison.com/course/debt-management-and-financial-planning#l-main-pub,"Summarise the basic concepts of debt management and fina,  Analyse and evaluate different types of debt and their i,  Apply strategies for managing debt and creati", Certification course,business
basics of solicitors, Course Gate,"1,420",https://alison.com/course/basics-of-solicitors#l-main-pub,"Define ?solicitors? and describe their various roles,  Discuss how the UK?s legal code of conduct defines the b,  Outline the importance of the relationship be,  Compare the functions of solicitors and barristers", Certification course,education
introduction to international commercial terms incoterms, Xpert Learning,541,https://alison.com/course/introduction-to-international-commercial-terms-incoterms#l-main-pub,"Discuss the advantages and disadvantages of incoterms,  Identify the various types of incoterms used for interna,  Distinguish between incoterms for any mode of", Certification course,business
introduction to free style swimming theory, Training Express,790,https://alison.com/course/introduction-to-free-style-swimming-theory#l-main-pub,"Discuss the purposes and health benefits of swimming,  Outline the major strokes used in competitive and recrea,  Identify the potential risks associated with ", Certification course,personal-development
introduction to wind energy, NPTEL,"3,268",https://alison.com/course/introduction-to-wind-energy#l-main-pub,"Define the concept of 'wind energy capture',  Analyze the relationship between the power an,  Explain the pattern of use of wind energy in the world", Certification course,engineering
kitchen management skills and procedures, Global Skill Network,"3,986",https://alison.com/course/kitchen-management-skills-and-procedures#l-main-pub,"Explain workplace safety regulations and develop emergen,  Evaluate menu planning strategies and pricing models to ,  Discuss the importance of food safety in the ", Certification course,management
office 365 administration basics, Workforce Academy Partnership,"22,621",https://alison.com/course/office-365-administration-basics#l-main-pub,"Outline the basic steps to host a domain name,  Indicate how to use Bing Places for business", Certification course,Information Technology
comptia security exam syo 501, Workforce Academy Partnership,"64,942",https://alison.com/course/comptia-security-exam-syo-501#l-main-pub,"Describe the process for analyzing risk,  Discuss identifying security threats", Certification course,Information Technology
introduction to orthodontic biomechanics, Training Express,"1,140",https://alison.com/course/introduction-to-orthodontic-biomechanics#l-main-pub,"Explain the fundamental concepts and principles of ortho,  Identify the role of biomechanics in guiding tooth movem,  Recognise the properties and applications of ", Certification course,health
master agile coaching, Will Jeffrey,265,https://alison.com/course/master-agile-coaching#l-main-pub,"Define the role and expectations of an Agile coach,  Distinguish between mentoring, facilitating, consulting,,  Apply the principles of systemic coaching to guide conve,  Arrange effective one-on-one meetings using t", Certification course,business
global health initiative hepatitis b awareness revised," Advance Learning - Health, Nursing & Medical","3,205",https://alison.com/course/global-health-initiative-hepatitis-b-awareness-revised#l-main-pub,"Define the main types of hepatitis B,  Identify complications and risk factors assoc,  Describe the causes and symptoms of hepatitis B", Certification course,health
oil in refrigeration and air conditioning systems, ADU,"5,365",https://alison.com/course/oil-in-refrigeration-and-air-conditioning-systems#l-main-pub,"Describe the ventilation systems used onboard,  Analyze the difference between natural and mechanical ve,  Describe the basic layout of a direct expansi", Certification course,engineering
instructional design for active learning in 21st century education, NPTEL,"7,409",https://alison.com/course/instructional-design-for-active-learning-in-21st-century-education#l-main-pub,"Explain the active learning process,  Describe the Addie model structure and its ap,  Identify different instructional design model types", Certification course,education
design and development of a training program, Alpha Academy,"1,455",https://alison.com/course/design-and-development-of-a-training-program#l-main-pub,"Describe the essential elements of a training program,  Discuss the skills used in preparation, resea,  Apply different methodologies to program design", Certification course,education
machining fluids and cutting tools, NPTEL,753,https://alison.com/course/machining-fluids-and-cutting-tools#l-main-pub,"Discuss the importance of machining,  Recognize the need for studying manufacturing in the mac,  Define what manufacturing is in the machining", Certification course,engineering
nist cyber security framework csf foundation, Exoexcellence Consultants,"39,067",https://alison.com/course/nist-cyber-security-framework-csf-foundation#l-main-pub,"Explain the NIST Cyber Security Framework,  Classify the different implementation tiers for the NIST,  State the elements of the NIST Cybersecurity ", Certification course,Information Technology
principles of business documentation and administrative service, Alpha Academy,"1,616",https://alison.com/course/principles-of-business-documentation-and-administrative-service#l-main-pub,"Distinguish between formal and informal types of meeting,  Describe how to organise, prioritise tasks and manage an,  List the different methods used to store info", Certification course,business
leed v4 building design and construction, Training Facility UK,"2,755",https://alison.com/course/leed-v4-building-design-and-construction#l-main-pub,"Compare the costs and benefits of a green design,  Select the right material and equipment for a green buil,  Explain how to reuse and recycle water during", Certification course,management
montessori mathematics concepts development in maths, Montessori Pro,"4,284",https://alison.com/course/montessori-mathematics-concepts-development-in-maths#l-main-pub,"Analyze the importance of mathematical learning for Mont,  Discuss the relation between Montessori math and taking ,  Define the role of math activities in childre", Certification course,education
human resources in the food service and hospitality sector, BCcampus OpenEd,"10,737",https://alison.com/course/human-resources-in-the-food-service-and-hospitality-sector#l-main-pub,"Identify the importance of Human Resource Management (HR,  Discuss staff recruitment issues commonly faced by HR ma,  Outline the importance of the job description", Certification course,business
introduction to tissue engineering, NPTEL,"2,308",https://alison.com/course/introduction-to-tissue-engineering#l-main-pub,"Discuss tissue engineering and whole tissue replacement,  Identify implant-associated infections and their treatme,  Define foreign body response (FBR)", Certification course,health
strategic training needs analysis mastery, Course Cloud,192,https://alison.com/course/strategic-training-needs-analysis-mastery#l-main-pub,"Combine templates and tools to track the information gat,  Apply appropriate data collection methods to develop act,  Recognise data analysis techniques to interpr", Certification course,business
information systems and business processes, Professional Academy,"12,942",https://alison.com/course/information-systems-and-business-processes#l-main-pub,"Evaluate Carr?s argument in ?Does IT Matter??,  Define the productivity paradox and explain the current ,  Describe the components of competitive advant", Certification course,business
introduction to steam theories in marine boilers, ADU,"1,035",https://alison.com/course/introduction-to-steam-theories-in-marine-boilers#l-main-pub,"Explain the concept of ?heat transfer?,  Outline the important definitions and terms used in stea,  Describe the concepts of specific heat capaci", Certification course,engineering
professional resume writing, Driven ... Co.,"4,745",https://alison.com/course/professional-resume-writing#l-main-pub,"Describe how to write a professional resume that increas,  Indicate your skills and achievements using the ?RAP? me,  Explain how to write a personal brand statement that enc", Certification course,personal-development
understanding supply chain risk management revised 2018, NPTEL,"18,513",https://alison.com/course/understanding-supply-chain-risk-management-revised-2018#l-main-pub,"Describe the aim of Supply Chain Risk Management,  Describe and give examples of resource uncert,  List the elements of a Supply Chain Ecosystem", Certification course,business
understanding the california consumer privacy act, Academy Of Skills,158,https://alison.com/course/understanding-the-california-consumer-privacy-act#l-main-pub,"Define some of the key terms and phrases used within the,  Explain the introductory concepts that constitute the CC,  Discuss the various privacy rights that are o", Certification course,business
environmental education transport, EcoEd4All,"1,456",https://alison.com/course/environmental-education-transport#l-main-pub,"Discuss key reasons that fossil fuels remain the dominan,  Recognise the socio-economic trends that have created to,  Explain the major environmental, climatic and", Certification course,education
introduction to ocean and geothermal energy, NPTEL,"1,149",https://alison.com/course/introduction-to-ocean-and-geothermal-energy#l-main-pub,"Describe oceanic thermal energy conversion (OTEC) and it,  Discuss the challenges encountered in harnessing this en,  Explain geothermal energy, a form of clean en", Certification course,engineering
how journal therapy works, Learndrive Education,"2,343",https://alison.com/course/how-journal-therapy-works#l-main-pub,"Define ?journal therapy? and outline its types,  Discuss the scientific links between journaling and ment,  Outline therapeutic journaling techniques used to overco,  Explain how to write therapeutically and high", Certification course,personal-development
hidden secrets of psychology why do people do the things they do, Advanced Ideas,"34,366",https://alison.com/course/hidden-secrets-of-psychology-why-do-people-do-the-things-they-do#l-main-pub,"Discuss the secret of what drives motivation,  Describe how self-image determines what you will and won,  Recognize how pain-avoidance and pleasure-seeking affect", Certification course,personal-development
windows 10 course 2020 edition, SimonSezIT,"29,750",https://alison.com/course/windows-10-course-2020-edition#l-main-pub,"Recognize how to get started using Windows 10,  Discuss how user accounts work and how to set them up in,  Identify how to adjust your notifications in ,  Recognize how to usethe Search Box and Cortana", Certification course,Information Technology
understanding marine biology, Training Express,"5,063",https://alison.com/course/understanding-marine-biology#l-main-pub,"Define ?marine biology?,  Explain the ecology of the ocean and establish their imp,  Compare the physical characteristics of the Arctic and A,  Discuss the multicellular primary producers o", Certification course,education
pedicure treatment and nail polish application, Kristina Bagrova,"12,678",https://alison.com/course/pedicure-treatment-and-nail-polish-application#l-main-pub,"State the function of each tool required for a complete ,  Recall the industry standards and requirements for hygie,  List the steps required to carry out a full p", Certification course,education
workload planning and management, Course Cloud,741,https://alison.com/course/workload-planning-and-management#l-main-pub,"Discuss the goals and the key benefits of workload manag,  Recognise the key challenges that agencies face in workl,  Outline effective tips to overcome the obstacles in work", Certification course,management
human nutrition introduction to micronutrients revised, Brian Lindshield,"7,649",https://alison.com/course/human-nutrition-introduction-to-micronutrients-revised#l-main-pub,"Describe those vitamins and minerals,  List various vitamins and minerals such as vitamin C, vi,  Describe the absorption and metabolism proces", Certification course,health
hospital management intensive care unit icu, EDUCBA,"1,935",https://alison.com/course/hospital-management-intensive-care-unit-icu#l-main-pub,"Define ?intensive care unit (ICU)?,  Explain the role and functions of the ICU", Certification course,management
basics of bid management, Study Booth,"1,245",https://alison.com/course/basics-of-bid-management#l-main-pub,"Summarise the strategies and tactics of digital bidding,  Outline the characteristics and responsibilities of bid ,  Explain the significance of analysing tender documents d,  Define ?bids? and explain how they are manage", Certification course,business
theory of clinical lab technician, Training Facility UK,"4,254",https://alison.com/course/theory-of-clinical-lab-technician#l-main-pub,"Describe the importance of clinical laboratories and und,  Identify the main types of laboratory equipment and thei,  Explain what a microscope does and examine it", Certification course,education
vegan diet healthy lifestyle, Advanced Ideas,"5,485",https://alison.com/course/vegan-diet-healthy-lifestyle#l-main-pub,"State how research has shown that a vegan diet can lower,  Explain how a vegan diet reduces your chances of getting,  Discuss how going vegan can help with weight and improve", Certification course,personal-development
introduction to stress management revised, NPTEL,"12,019",https://alison.com/course/introduction-to-stress-management-revised#l-main-pub,"Describe what stress is,  Explain why individuals respond differently during a str,  Explain the history and genesis of stress res", Certification course,personal-development
the principles of innovation in business, Ross Maynard,"1,645",https://alison.com/course/the-principles-of-innovation-in-business#l-main-pub,"Define innovation,  List the global trends affecting business and,  Explain the reasons why organizations need to innovate", Certification course,business
kaizen approach lean methodology for continuous improvement, SM Waqas Imam,"22,191",https://alison.com/course/kaizen-approach-lean-methodology-for-continuous-improvement#l-main-pub,"Define ?Kaizen? and lay out its philosophy and methods,  List the attributes of successful Kaizen events", Certification course,business
managing bipolar disorder practical tips and strategies, Areej Mughal,912,https://alison.com/course/managing-bipolar-disorder-practical-tips-and-strategies#l-main-pub,"Recognize the different types of bipolar disorder and th,  Summarize the various biological, psychological and envi,  Explain how to diagnose bipolar disorder and ", Certification course,personal-development
theory of craniosacral therapy cst, Edu Rise,92,https://alison.com/course/theory-of-craniosacral-therapy-cst#l-main-pub,"Describe the principles of craniosacral therapy,  Recall the approaches, perspectives and applications of ,  Explain the anatomy, physiology and function ", Certification course,health
essentials of fish farming, Amzi Chidozie,836,https://alison.com/course/essentials-of-fish-farming#l-main-pub,"Discuss the nutrients that make up fish nutrition and th,  Describe the origin of fish farming as well as its evolu,  Analyze the breeding patterns of fish and their genetic ", Certification course,business
develop your emotional intelligence, Ei4Change,"78,010",https://alison.com/course/develop-your-emotional-intelligence#l-main-pub,"Outline the emotional and social competencies that make ,  Explain what emotional intelligence is and what it is NO,  Determine how you can work to enhance your em", Certification course,business
introduction to safety in construction, NPTEL,"3,239",https://alison.com/course/introduction-to-safety-in-construction#l-main-pub,"Explain the importance of safety and the challenges that,  Define the terms ?incident?, ?accidents?, ?hazards? and ,  Identify the requirements for safety signs an", Certification course,engineering
introduction to merchandising, Janets UK,"3,651",https://alison.com/course/introduction-to-merchandising#l-main-pub,"Define ?merchandising? and describe the factors that inf,  Outline the aspects of product planning, principles of b,  Summarise merchandise planning, merchandising, purchasin", Certification course,business
how to conduct research in adult care, Alpha Academy,729,https://alison.com/course/how-to-conduct-research-in-adult-care#l-main-pub,"Explain the process of conducting research,  Describe proper research approaches and metho,  Discuss the impact of healthcare research", Certification course,education
introduction to contracts in law revised, Christine Williams,"22,506",https://alison.com/course/introduction-to-contracts-in-law-revised#l-main-pub,"Outline what a contract is and what has to be contained ,  Define the three elements of a true contract, offer, acc,  Describe the three ways of communicating a contract in c", Certification course,business
an introduction to social work basics, Edukators London Ltd.,"16,367",https://alison.com/course/an-introduction-to-social-work-basics#l-main-pub,"Define what is meant by the term 'social work',  Explain relationships in social work", Certification course,education
how to write a security plan, Shai Spetgang,"1,093",https://alison.com/course/how-to-write-a-security-plan#l-main-pub,"Describe how to write a Security Management Plan,  Define the goals of the Security Management Plan in your,  Describe the importance of communicating the ,  Identify a security action plan for your organization", Certification course,business
sap activate project management implementation success, Exoexcellence Consultants,749,https://alison.com/course/sap-activate-project-management-implementation-success#l-main-pub,"Define workstreams within the SAP Activate methodology,  Identify SAP Activate key elements and its different fra,  Explain SAP Activate methodology and its sign", Certification course,business
business administration working with customers and teams, NuYew,"9,657",https://alison.com/course/business-administration-working-with-customers-and-teams#l-main-pub,"Discuss the purpose and procedures for keeping waste to ,  Explain the procedures for the disposal of hazardous mat,  Describe the contribution of individuals with", Certification course,business
fundamentals of quality assurance, Study Box,"6,916",https://alison.com/course/fundamentals-of-quality-assurance#l-main-pub,"Define ?quality assurance? and describe its control prin,  Discuss the growth of QA through time in terms of innova,  Indicate the best practices for enforcing sta", Certification course,business
dog training the ultimate guide to puppy training, Sharon Bolt,"3,295",https://alison.com/course/dog-training-the-ultimate-guide-to-puppy-training#l-main-pub,"Describe what to look for when choosing a good breeder,  Calculate the characteristics to look for when choosing ,  Identify what to do before bringing your pupp", Certification course,education
introduction to environmental health, Edukators London Ltd.,"4,546",https://alison.com/course/introduction-to-environmental-health#l-main-pub,"Summarise the benefits of ?living green?,  State the definition of ?environmental health? according,  Differentiate between waste and pollution in ", Certification course,education
early childhood educational psychology, Ilbey UÇAR,"2,351",https://alison.com/course/early-childhood-educational-psychology#l-main-pub,"Recognize the role of teachers and parents in children?s,  Summarize the benefits of educational psychology for tea,  Apply educational psychology theory to shape ", Certification course,education
mental freedom freedom from pain, Advanced Ideas,"3,977",https://alison.com/course/mental-freedom-freedom-from-pain#l-main-pub,"Discuss how pain & pleasure can rule somebody's life,  Explain how self-image determines what you will and won?,  Outline how the ?imprint period? has literall", Certification course,personal-development
strategic management for charity organisations, Thames College,221,https://alison.com/course/strategic-management-for-charity-organisations#l-main-pub,"Define charity management and explain its scope,  Discuss the historical overview of charity management an,  Recognise the use and impact of SWOT analysis", Certification course,management
agricultural science soil science and plant nutrition, Edukators London Ltd.,"16,452",https://alison.com/course/agricultural-science-soil-science-and-plant-nutrition#l-main-pub,"Identify various planting patterns and sowing methods,  Explain the seed germination process and the factors det,  Discuss the sexual and asexual methods of pla", Certification course,education
introduction to occupational hygiene revised," Advance Learning - Health, Nursing & Medical","4,311",https://alison.com/course/introduction-to-occupational-hygiene-revised#l-main-pub,"Explain the importance of occupational hygiene,  Define how the skin plays an important role in protectin,  Describe different skin disorders", Certification course,management
introduction to job search skills revised, Advance Learning - Interview Skills,"11,077",https://alison.com/course/introduction-to-job-search-skills-revised#l-main-pub,"Recognise a full-time job or an internship,  Discuss how internships can be extremely help,  Identify a potential career path", Certification course,personal-development
homoeopathy principles and practice of treatment, Edukators London Ltd.,"4,927",https://alison.com/course/homoeopathy-principles-and-practice-of-treatment#l-main-pub,"Discuss the origin and history of homoeopathy,  List the steps involved in making homoeopathi,  Recall the treatment procedures of homoeopathy", Certification course,health
returning to work awareness training, Course Cloud,397,https://alison.com/course/returning-to-work-awareness-training#l-main-pub,"Explain how one can find job opportunities,  Define the concept of a return to work (RTW) programme a,  Identify the factors to consider while deciding to retur", Certification course,business
bike maintenance a step by step guide, Training Facility UK,"2,169",https://alison.com/course/bike-maintenance-a-step-by-step-guide#l-main-pub,"Evaluate the performance of your motorcycle,  List important parts of your motorcycle that need regula,  Identify parts of your motorcycle that requir", Certification course,engineering
basics of hydroponic horticulture, Learndrive Education,"1,535",https://alison.com/course/basics-of-hydroponic-horticulture#l-main-pub,"Define ?hydroponics? and describe its history and applic,  Identify the critical components of the hydroponic syste,  Describe the role, advantages and disadvantag", Certification course,personal-development
human resources behavior and diversity in the workplace, Workforce Academy Partnership,"8,085",https://alison.com/course/human-resources-behavior-and-diversity-in-the-workplace#l-main-pub,"Describe how to properly provide employee feedback,  Evaluate potential new hires and interview them for the ,  Recognize workplace harassment and bullying", Certification course,business
office procedures in the modern workplace, Sherique Dill,"6,861",https://alison.com/course/office-procedures-in-the-modern-workplace#l-main-pub,"Describe the modern office environment,  Identify different levels of management in an,  State the basic functions of a modern office", Certification course,business
fiscal and monetary policies revised, Khan Academy,"4,311",https://alison.com/course/fiscal-and-monetary-policies-revised#l-main-pub,"Explain how a fiscal policy can change GDP,  Define the concept of viewing interest as 'rent for mone,  Describe how the supply and demand around money impacts ,  Discuss how central banks use monetary policy to adjust ", Certification course,education
effective sales and customer care for businesses, Proactive Ideas,"1,070",https://alison.com/course/effective-sales-and-customer-care-for-businesses#l-main-pub,"Outline the strategies for setting precise and achievabl,  Create detailed sales plans, including market research, ,  Plan compelling sales presentations, incorpor", Certification course,business
salud y seguridad del bienestar primeros auxilios, Advance Learning - Health & Safety,74,https://alison.com/course/salud-y-seguridad-del-bienestar-primeros-auxilios#l-main-pub,"Evaluar la importancia de los primeros auxilios en el lu,  Describir los requisitos para crear y aplicar un program,  Recordar los objetivos de los primeros auxili", Certification course,health
strategic human resource management and development, Human & Emotion,"9,236",https://alison.com/course/strategic-human-resource-management-and-development#l-main-pub,"Describe the skills, techniques, and processes required ,  Identify best strategies and skills needed for conductin,  Describe how to perform a job analysis and cr", Certification course,personal-development
bridal hair styling, CourseFlix,"8,977",https://alison.com/course/bridal-hair-styling#l-main-pub,"Describe how to prepare hair before you begin styling,  Identify the tools and products you need for any bridal ,  List the steps for creating the modern bridal ?romantic ,  Summarize the steps to pinning up hair to cre", Certification course,personal-development
job evaluation in human resource management, S.M. Al-Amin,321,https://alison.com/course/job-evaluation-in-human-resource-management#l-main-pub,"Recognize skills to design and implement job evaluation ,  Apply and execute job evaluation within your organizatio,  Recognize the Impact of job evaluation with a", Certification course,business
property law and management, Course Cloud,"7,016",https://alison.com/course/property-law-and-management#l-main-pub,"Discuss the importance of property rights,  Explain the formalities and legal implications of proper,  Outline the rights and responsibilities of a property ow,  Describe the guidelines and forms of co-owner", Certification course,business
tourism retail travel sales, Global Text Project,"8,763",https://alison.com/course/tourism-retail-travel-sales#l-main-pub,"Define the four types of package holidays,  Describe the role of tour wholesalers in the tourism ind,  Explain the role of retail travel agencies in the touris,  Discuss the methods tour wholesalers use to m", Certification course,business
how to estimate the cost of construction, Training Facility UK,"3,005",https://alison.com/course/how-to-estimate-the-cost-of-construction#l-main-pub,"List and explain the classifications of construction acc,  Discuss the functions of the general contractors and ide,  Recall the procedures for creating a thorough", Certification course,engineering
primavera p6 fundamentals, Stone River eLearning,"6,663",https://alison.com/course/primavera-p6-fundamentals#l-main-pub,"Explain the ?Enterprise Project Structure? (EPS),  Recall how to navigate the Primavera P6 workspace and me,  Describe how to create a new project node in the Primave,  Recognise how to create and add activities to", Certification course,Information Technology
strategic business management, Course Cloud,"4,014",https://alison.com/course/strategic-business-management#l-main-pub,"Define the term ?strategic business management? and iden,  Identify the various phases involved in the strategic bu,  Describe corporate governance including the role of the ", Certification course,business
vehicle met technician, Training Express,"3,133",https://alison.com/course/vehicle-met-technician#l-main-pub,"Assess the career perspectives and day-to-day duties of ,  Identify the risks involved in a MET technician's work e,  List the basic precautions and safety measures that a ME", Certification course,engineering
electrical fundamentals, ADU,"8,116",https://alison.com/course/electrical-fundamentals#l-main-pub,"Define the key terms and formulae of electrical theory,  Analyze the key circuit parameters of resistance, capaci,  Describe the workings of DC circuits in both ,  Explain the basic laws and effects of electric current", Certification course,engineering
nursing studies health and safety movement and exercise revised 2018, MEDCoE,"14,741",https://alison.com/course/nursing-studies-health-and-safety-movement-and-exercise-revised-2018#l-main-pub,"Define and identify principles of good body mechanics,  Name the eight general considerations for performing phy,  Describe the basic principles for positioning", Certification course,management
social awareness and relationship skills, Mayfair College Ltd,"1,118",https://alison.com/course/social-awareness-and-relationship-skills#l-main-pub,"Explain the benefits of fostering healthy relationships,  Outline the various tools and techniques needed for self,  Discuss the common causes of conflicts in a r", Certification course,personal-development
fundamentals of becoming a certified fraud examiner cfe, Exoexcellence Consultants,805,https://alison.com/course/fundamentals-of-becoming-a-certified-fraud-examiner-cfe#l-main-pub,"Identify the five main components of the fraud tree,  Describe the fraud triangle, its three components, and t,  Outline the steps in which a fraud examinatio", Certification course,education
workplace communication basics, RapidEzy Training Systems,"4,498",https://alison.com/course/workplace-communication-basics#l-main-pub,"Define the characteristics of excellent communication,  Identify how verbal communication is used in the workpla,  List five reasons to strive for effective communication", Certification course,business
animal nutrition feedstuffs and hygiene, Rapid EDX,"1,049",https://alison.com/course/animal-nutrition-feedstuffs-and-hygiene#l-main-pub,"Analyse nutrient types and dietary needs to improve unde,  Plan and formulate balanced diets for diverse animal spe,  Create balanced and appropriate diets for car", Certification course,education
financial advisor roles and responsibilities, Alpha Academy,"5,974",https://alison.com/course/financial-advisor-roles-and-responsibilities#l-main-pub,"Recall common terms used in finance,  Describe the roles and responsibilities of financial adv,  Summarise the objectives of financial plannin", Certification course,business
fundamentals of salesforce sales and customer relationship management, Exoexcellence Consultants,"1,214",https://alison.com/course/fundamentals-of-salesforce-sales-and-customer-relationship-management#l-main-pub,"Explain the key features and functionalities of Salesfor,  Distinguish between customization and configuration in S,  Outline the transformation of Salesforce Inc.", Certification course,business
information and communication handling in caregiving, Alpha Academy,"5,964",https://alison.com/course/information-and-communication-handling-in-caregiving#l-main-pub,"Explain how to overcome communication barriers,  Distinguish between verbal and nonverbal communication t,  Outline the significance of confidentiality a", Certification course,health
growth mindset for success in life school and career, Asuni Abiola Zikroh,"4,132",https://alison.com/course/growth-mindset-for-success-in-life-school-and-career#l-main-pub,"Define the ?growth mindset? approach to overcoming chall,  Identify your life's purpose and align your goals with i,  Explain how to cultivate resilience and bounc", Certification course,personal-development
early childhood effects of digital games, Ilbey UÇAR,"1,032",https://alison.com/course/early-childhood-effects-of-digital-games#l-main-pub,"Describe the critical developmental functions in the ear,  Explain the role of family members in shaping childhood ,  Recognise the importance of positive and open", Certification course,education
early childhood discipline and boundaries, Ilbey UÇAR,672,https://alison.com/course/early-childhood-discipline-and-boundaries#l-main-pub,"Describe the different types of child discipline,  Explain why boundaries are important for chil,  Recognise why one should have self-discipline in life", Certification course,education
disciplinary and incentive program osha, Shai Spetgang,236,https://alison.com/course/disciplinary-and-incentive-program-osha#l-main-pub,"Define a Disciplinary and Incentive Program,  Describe the proper methods of discipline and incentiviz,  Review the training procedures for this progr", Certification course,management
end of life and palliative care, Edukators London Ltd.,"39,381",https://alison.com/course/end-of-life-and-palliative-care#l-main-pub,"Describe the holistic aspect of caregiving and outline i,  Explain in detail what end-of-life and palliative care a,  Indicate the various types and stages of illness experie", Certification course,personal-development
computer networking wired and wireless networks and protocols revised, Channel 9,"40,156",https://alison.com/course/computer-networking-wired-and-wireless-networks-and-protocols-revised#l-main-pub,"List cable speeds and the cable types,  Describe the structure and function of twisted-pair cabl,  Define the terms attenuation and interference", Certification course,Information Technology
human health human development and health, XSIQ,"5,027",https://alison.com/course/human-health-human-development-and-health#l-main-pub,"Define Development,  Identify the stages of development and the co,  Describe the different aspects of human development", Certification course,education
ms office 2013 transition, Workforce Academy Partnership,"22,857",https://alison.com/course/ms-office-2013-transition#l-main-pub,"Describe the People Card in MS Office 2013,  Explain the Metro Style in MS Office 2013 tools", Certification course,education
becoming a professional barista the basics, Element Recipe,"12,522",https://alison.com/course/becoming-a-professional-barista-the-basics#l-main-pub,"Describe the barista profession and its origin,  Evaluate the cost of barista training and the financial ,  Analyse barista apprenticeships and their var", Certification course,personal-development
overcome stress and anxiety, Angelika Neupauerova,762,https://alison.com/course/overcome-stress-and-anxiety#l-main-pub,"Define what stress is and how individuals react to it,  Distinguish between stress and anxiety and recognize the,  Describe the different mental and physical symptoms of s,  Describe the chain reaction that takes place ", Certification course,personal-development
introduction to risk management revised, Professional Academy,"15,927",https://alison.com/course/introduction-to-risk-management-revised#l-main-pub,"Define Risk Management and discuss examples,  Summarize perils and hazards associated with managing ri,  Discuss the importance of risk management met,  Describe different types of risk exposure", Certification course,business
introduction to public health, Course Cloud,"13,513",https://alison.com/course/introduction-to-public-health#l-main-pub,"Discuss how public health interventions can help us impl,  Summarise how we can gain insight into public health goa,  Describe why we must have a clear understanding of epide", Certification course,health
guide to icd 10 classifying medical data, Learndrive Education,"5,696",https://alison.com/course/guide-to-icd-10-classifying-medical-data#l-main-pub,"Analyze the three dimensions of coding accuracy,  Summarize the general coding standards", Certification course,education
thermal processing of foods food packaging and regulations, NPTEL,"3,539",https://alison.com/course/thermal-processing-of-foods-food-packaging-and-regulations#l-main-pub,"Establish the importance of food packaging that protects,  Describe the shapes and design of packaging materials ap,  Explain biopolymers and how bio-based materia", Certification course,engineering
